tipo,modalidade,categoria,nome,morada,site,e_mail,telefone,fax,freguesia
Alojamento local,Moradia,-,Casa d' Alcafaz,"Rua da Portela 35, Alcafaz, 3750-011 Agadão",-,adelaide.1967@gmail.com,965659380,,"UF Belazaima, Castanh e Agadão"
Empreendimento turístico,Casa de Campo,-,Quinta do Salgueiro - Casas do Xisto,"Rua Fundo do Lugar 24, Salgueiro, 3750-682 Préstimo",www.casasdoespigueiro.pt,casasdoespigueiro@gmail.com,936265546,,UF Préstimo e Macieira Alcôba
Alojamento local,Moradia,-,Casa do Pateo,"Rau José Varanda 350, Lourizela, 3750-677 Préstimo",http://www.casadopateo.pt/,info@casadopateo.pt,911852750,,UF Préstimo e Macieira Alcôba
Alojamento local,Estabelecimento de hospedagem - Hostel,-,XPT Águeda,"Rua Vasco da Gama 37, 3750-167 Águeda",www.xpt.pt,geral@xpt.pt,234101973,,UF Águeda e Borralha
Alojamento local,Estabelecimento de hospedagem - Hostel,-,Agueda Hostel & Friends,"Rua José Maria Veloso 8, 3750-156 Águeda",http://aguedahostel.pt/,geral@aguedahostel.pt,234136620,,UF Águeda e Borralha
Alojamento local,Moradia,-,Quinta Pedro Cruz,"Rua Prof Anibal ""O Mestre"" 11, 3750-351 Barrô AGD",http://www.quintavaledocruz.com,geral@quintavaledocruz.com,933093099,,UF Barrô e Aguada de Baixo
Alojamento local,Moradia,-,Casa do Vale da Vinha,"Rua José Varanda 373, Lourizela, 3750-677 Préstimo",https://casa-do-vale-da-vinha.webnode.pt/,luizaminerva@ua.pt,919354023,,UF Préstimo e Macieira Alcôba
Alojamento local,Moradia,-,Casa Sulo,"Rua do Cabeço 52, Alombada, 3750-581 Macinhata do Vouga",http://www.casasulo.com/,sue@casasulo.com,,,Macinhata do Vouga
Alojamento local,Moradia,-,Chalet de Madeira,"Rua da Gandarinha 246, Alagoa, 3750-301 Águeda",-,casasdeferias.victor.angela@gmail.com,965168855,,UF Águeda e Borralha
Alojamento local,Moradia,-,Inspired Vouga AJaccommodation,"Rua das Figuras Populares 29, Aguieira, 3750-882 Valongo do Vouga",-,ajaccommodation@gmail.com,938601604,,Valongo do Vouga
Alojamento local,Moradia,-,Quinta da Mesa,"Rua da Capela 609, Mesa, 3750-594 Macinhata do Vouga",https://pt-pt.facebook.com/quintadamesa/,vasco.quinteiro@gmail.com,962357567,,Macinhata do Vouga
Alojamento local,Moradia,,Casa do Celeiro de Dr Eduardo Santhiago,"Rua Dr Eduardo Santiagio 131, Segadães",,emiranda@mail.telepac.pt,,,"UF Trofa, Segadães e Lamas"
Alojamento local,Apartamento, - ,Bloco 3 Alojamento Local,"Avenida do Emigrante 981, BL 3 2 DTO, Ninho d Águia, 3750-313 Águeda",,geral.filipe@gmail.com,,,UF Águeda e Borralha
Alojamento local,Moradia, -,Quinta do Cruz,"Rua do Afurado 1152, 3750 Águeda",,,910923390,,UF Águeda e Borralha
Empreendimento turístico,Hotel,1 estrela,HMB Hotels,"Rua da Fonte do Roque 1, 3750-435 Fermentelos",-,reservas@hmbhotels.pt,234728072,,Fermentelos
Alojamento local,Moradia,-,Casa do Tear,"Rua Principal 500, 3750-561 Macieira de Alcôba",www.facebook.com/casatear.macieiraalcoba,casa.tear@gmail.com,963468854,,UF Préstimo e Macieira Alcôba
Alojamento local,Moradia,,Monte d' Alcobaar - Casa das Beiras,"Rua de S Domingos 298, Urgueira, 3750-562 Macieira de Alcôba",,pedro@pedroferreira.com.pt,,,UF Préstimo e Macieira Alcôba
Alojamento local,Quartos,,Blessed Guesthouse,"Urbanização Quinta da Borralha 594, 3 ESQ, 3750-874 Borralha",,donizetealves83@gmail.com,,,UF Águeda e Borralha
Alojamento local,Moradia,,Monte d' Alcobaar - Casa de Altar,"Travessa do Quintal 19, Urgueira, 3750-562 Macieira de Alcôba",,,,,UF Préstimo e Macieira Alcôba
Alojamento local,Moradia, - ,Cantinho do Préstimo,"Rua da Almunha 245, 3750- Préstimo",,carlasilva550@hotmail.com,913002928,,UF Préstimo e Macieira Alcôba
Alojamento local,Moradia,,Casa Magnólia,"Rua da Telha 51, Carvoeiro, 3750-603 Macinhata do Vouga",,gabrielangelicoalves@gmail.com,,,Macinhata do Vouga
Alojamento local,Moradia,,Monte d' Alcobaar - Casa Sra da Guia,"Rua de S Domingos 246, Urgueira, 3750-562 Macieira de Alcôba",,,,,UF Préstimo e Macieira Alcôba
Alojamento local,Moradia,,Monte d' Alcobaar - Casa de S Domingos,"Rua de S Domingos 204, Urgueira, 3750-562 Macieira de Alcôba",,,,,UF Préstimo e Macieira Alcôba
